# M110A Modem Progressive Test Results
# Version: 1.2.0+build.36.baec8c0
# Date: 2025-12-08 00:54:51
# Mode Filter: ALL
Mode,Data_Rate_BPS,Min_SNR_dB,Max_Freq_Offset_Hz,Max_Multipath_Samples,Max_Multipath_ms
75S,75,30.00,0.0,0,0.00
75L,75,30.00,0.0,0,0.00
150S,150,-1.25,11.2,195,4.06
150L,150,-6.25,11.2,195,4.06
300S,300,-5.00,11.2,195,4.06
300L,300,-1.88,11.2,195,4.06
600S,600,-7.50,11.2,195,4.06
600L,600,-7.50,11.2,195,4.06
1200S,1200,-1.88,11.2,195,4.06
1200L,1200,-5.62,11.2,195,4.06
2400S,2400,-1.88,10.6,155,3.23
2400L,2400,-0.62,11.2,195,4.06
